codigo_fifa,equipo_es,equipo_en,confederacion,grupo,pos_fifa,puntos_fifa,elo,fuerza_fifa,fuerza_elo,fuerza_base,fuerza_base_compuesto,fuerza_base_elo_toggle,fuente_fuerza
MEX,México,Mexico,CONCACAF,A,14,1687.48,1943,68.45717894596886,71.12299465240642,68.45717894596886,69.52350522854388,71.12299465240642,fifa
RSA,Sudáfrica,South Africa,CAF,A,60,1428.38,1559,25.395137030696898,19.78609625668449,25.395137030696898,23.151520721091934,19.78609625668449,fifa
KOR,Corea del Sur,South Korea,AFC,A,25,1591.63,1723,52.52704881251145,41.711229946524064,52.52704881251145,48.200721266116496,41.711229946524064,fifa
CZE,Chequia,Czechia,UEFA,A,40,1505.74,1680,38.252256145191055,35.962566844919785,38.252256145191055,37.336380425082545,35.962566844919785,fifa
CAN,Canadá,Canada,CONCACAF,B,30,1559.48,1764,47.183765726536926,47.19251336898396,47.183765726536926,47.187264783515744,47.19251336898396,fifa
BIH,Bosnia y Herzegovina,Bosnia and Herzegovina,UEFA,B,64,1387.22,1605,18.554405092323307,25.93582887700535,18.554405092323307,21.506974606196124,25.93582887700535,fifa
QAT,Catar,Qatar,AFC,B,56,1450.31,1411,29.039871029932353,14.966577540106954,29.039871029932353,23.410553634002195,14.966577540106954,fifa
SUI,Suiza,Switzerland,UEFA,B,19,1650.06,1914,62.23802955010054,67.24598930481284,62.23802955010054,64.24121345198546,67.24598930481284,fifa
BRA,Brasil,Brazil,CONMEBOL,C,6,1765.86,2031,81.48382057205536,82.88770053475936,81.48382057205536,82.04537255713697,82.88770053475936,fifa
MAR,Marruecos,Morocco,CAF,C,7,1755.1,1886,79.69552427329687,63.50267379679144,79.69552427329687,73.2183840826947,63.50267379679144,fifa
HAI,Haití,Haiti,CONCACAF,C,83,1293.1,1517,6.220562083464925,14.966577540106954,6.220562083464925,9.718968266121736,14.966577540106954,fifa
SCO,Escocia,Scotland,UEFA,C,42,1503.34,1745,37.85337964732669,44.6524064171123,37.85337964732669,40.57299035524093,44.6524064171123,fifa
USA,Estados Unidos,United States,CONCACAF,D,17,1671.23,1798,65.75645265834567,51.7379679144385,65.75645265834567,60.1490587607828,51.7379679144385,fifa
PAR,Paraguay,Paraguay,CONMEBOL,D,41,1505.35,1823,38.187438714288085,55.080213903743314,38.187438714288085,44.94454879007017,55.080213903743314,fifa
AUS,Australia,Australia,AFC,D,27,1579.34,1800,50.4844687463644,52.00534759358289,50.4844687463644,51.0928202852518,52.00534759358289,fifa
TUR,Turquía,Turkey,UEFA,D,22,1605.73,1852,54.87044823746448,58.9572192513369,54.87044823746448,56.50515664301345,58.9572192513369,fifa
GER,Alemania,Germany,UEFA,E,10,1735.77,1908,76.48290648008111,66.44385026737967,76.48290648008111,72.46728399500054,66.44385026737967,fifa
CUW,Curazao,Curacao,CONCACAF,E,82,1294.77,1438,6.220562083464925,14.966577540106954,6.220562083464925,9.718968266121736,14.966577540106954,fifa
CIV,Costa de Marfil,Ivory Coast,CAF,E,33,1540.87,1727,44.09081088268044,42.24598930481283,44.09081088268044,43.352882251533394,42.24598930481283,fifa
ECU,Ecuador,Ecuador,CONMEBOL,E,23,1598.52,1871,53.672156758463665,61.49732620320856,53.672156758463665,56.80222453636162,61.49732620320856,fifa
NED,Países Bajos,Netherlands,UEFA,F,8,1753.57,1971,79.44124050590835,74.8663101604278,79.44124050590835,77.61126836771614,74.8663101604278,fifa
JPN,Japón,Japan,AFC,F,18,1661.58,1888,64.15263673984941,63.77005347593583,64.15263673984941,63.99960343428398,63.77005347593583,fifa
SWE,Suecia,Sweden,UEFA,F,38,1509.79,1731,38.92536023533714,42.780748663101605,38.92536023533714,40.46751560644292,42.780748663101605,fifa
TUN,Túnez,Tunisia,CAF,F,45,1476.41,1562,33.37765294420717,20.18716577540107,33.37765294420717,28.10145807668473,20.18716577540107,fifa
BEL,Bélgica,Belgium,UEFA,G,9,1742.24,1910,77.55821103890709,66.71122994652407,77.55821103890709,73.21941860195389,66.71122994652407,fifa
EGY,Egipto,Egypt,CAF,G,29,1562.37,1742,47.6640795093819,44.25133689839572,47.6640795093819,46.298982464987425,44.25133689839572,fifa
IRN,Irán,Iran,AFC,G,20,1619.58,1764,57.17229802722331,47.19251336898396,57.17229802722331,53.18038416392757,47.19251336898396,fifa
NZL,Nueva Zelanda,New Zealand,OFC,G,85,1275.58,1534,6.220562083464925,16.44385026737968,6.220562083464925,10.309877357030826,16.44385026737968,fifa
ESP,España,Spain,UEFA,H,2,1874.71,2159,99.57453173561137,100,99.57453173561137,99.74471904136682,100,fifa
URU,Uruguay,Uruguay,CONMEBOL,H,16,1673.07,1841,66.06225797337498,57.48663101604278,66.06225797337498,62.632007190442096,57.48663101604278,fifa
KSA,Arabia Saudita,Saudi Arabia,AFC,H,61,1423.88,1596,24.647243597201246,24.732620320855617,24.647243597201246,24.681394286662993,24.732620320855617,fifa
CPV,Cabo Verde,Cape Verde,CAF,H,67,1371.11,1622,15.876946600408841,28.20855614973262,15.876946600408841,20.809590420138353,28.20855614973262,fifa
FRA,Francia,France,UEFA,I,3,1870.7,2134,98.90807558709636,96.65775401069519,98.90807558709636,98.00794695653589,96.65775401069519,fifa
SEN,Senegal,Senegal,CAF,I,15,1684.07,1816,67.89044192191992,54.144385026737964,67.89044192191992,62.39201916384713,54.144385026737964,fifa
NOR,Noruega,Norway,UEFA,I,31,1557.44,1934,46.844720703352245,69.91978609625669,46.844720703352245,56.074746860514026,69.91978609625669,fifa
IRQ,Irak,Iraq,AFC,I,57,1446.28,1561,28.370090910601807,20.053475935828878,28.370090910601807,25.043444920692636,20.053475935828878,fifa
ARG,Argentina,Argentina,CONMEBOL,J,1,1877.27,2148,100,98.52941176470588,100,99.41176470588235,98.52941176470588,fifa
AUT,Austria,Austria,UEFA,J,24,1597.4,1821,53.48601439279365,54.81283422459893,53.48601439279365,54.016742325515764,54.81283422459893,fifa
ALG,Argelia,Algeria,CAF,J,28,1571.03,1785,49.1033588725091,50,49.1033588725091,49.462015323505454,50,fifa
JOR,Jordania,Jordan,AFC,J,63,1387.74,1628,18.640828333527242,29.010695187165776,18.640828333527242,22.788775074982656,29.010695187165776,fifa
POR,Portugal,Portugal,UEFA,K,5,1767.85,2013,81.81455566820122,80.4812834224599,81.81455566820122,81.2812467699047,80.4812834224599,fifa
COL,Colombia,Colombia,CONMEBOL,K,13,1698.35,2004,70.2637570842128,79.27807486631016,70.2637570842128,73.86948419705175,79.27807486631016,fifa
UZB,Uzbekistán,Uzbekistan,AFC,K,50,1458.73,1631,30.439262743273122,29.41176470588235,30.439262743273122,30.028263528316813,29.41176470588235,fifa
COD,RD Congo,DR Congo,CAF,K,46,1474.43,1704,33.048579833469084,39.17112299465241,33.048579833469084,35.49759709794241,39.17112299465241,fifa
ENG,Inglaterra,England,UEFA,L,4,1828.02,2046,91.81472186674202,84.89304812834224,91.81472186674202,89.0460523713821,84.89304812834224,fifa
CRO,Croacia,Croatia,UEFA,L,11,1714.87,1882,73.00935697784573,62.967914438502675,73.00935697784573,68.9927799621085,62.967914438502675,fifa
GHA,Ghana,Ghana,CAF,L,73,1346.88,1575,11.849955957386724,21.925133689839573,11.849955957386724,15.880027050367865,21.925133689839573,fifa
PAN,Panamá,Panama,CONCACAF,L,34,1539.16,1658,43.80661137795212,33.02139037433155,43.80661137795212,39.49252297650389,33.02139037433155,fifa
